dataset,case_id,noise_name,split,mean_iou_noisy,mean_iou_refined,delta_iou
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.443699074,0.636704683,0.193005609
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.454187367,0.651197063,0.197009696
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.340358338,0.471936081,0.131577743
brain-tumor,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.354745502,0.499465513,0.144720011
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.359826591,0.505038539,0.145211948
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999991,0.502713014,0.142713023
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.489763927,0.655225658,0.165461731
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.489999833,0.662790426,0.172790593
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639691828,0.700896675,0.061204847
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999961,0.708499954,0.068499994
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.809609993,0.718919398,-0.090690595
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.810000328,0.727996578,-0.08200375
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.835087219,0.721177933,-0.113909286
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.836102782,0.727316052,-0.10878673
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.710953032,0.713432728,0.002479696
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.712258315,0.719578172,0.007319857
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.614028654,0.698347984,0.08431933
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.615444392,0.704344131,0.088899739
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.536774342,0.678673601,0.141899259
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.538266048,0.685426234,0.147160187
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.75768259,0.716429397,-0.041253192
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.76062805,0.726173604,-0.034454446
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.608808095,0.688519971,0.079711876
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.61377628,0.696919272,0.083142991
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.47612267,0.576216817,0.100094147
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.470492672,0.58586061,0.115367938
