dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
Custom_Blood,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,1105,1105,32,640,0.025977447,0.004912769,0.034535519,0.200158353
Custom_Blood,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,1105,1105,4,640,0.028160432,0.004853672,0.090051194,0.101821061
Custom_Blood,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1105,1105,32,640,0.065748842,0.010442913,0.511683586,0.146987342
Custom_Blood,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,1105,1105,4,640,0.130452265,0.024829331,0.697478237,0.205606561
Custom_Blood,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,1105,1105,32,640,0.320984961,0.047386203,0.480462039,0.506571655
Custom_Blood,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,1105,1105,4,640,0.518424361,0.079097639,0.624429725,0.648456057
Custom_Blood,yolov8n,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1105,1105,32,640,0.204814825,0.065401827,0.719446626,0.25516782
Custom_Blood,detr,scale_0.8,labels_scale_0.8,multiclass,explicit,1,1105,1105,4,640,0.28410047,0.088714556,0.620306066,0.312276754
Custom_Blood,yolov8n,scale_0.8,labels_scale_0.8,object_only,explicit,1,1105,1105,32,640,0.890349154,0.286340769,0.882359698,0.834679335
Custom_Blood,detr,scale_0.8,labels_scale_0.8,object_only,explicit,1,1105,1105,4,640,0.918614225,0.286413743,0.897821345,0.905621536
Custom_Blood,yolov8n,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1105,1105,32,640,0.220723296,0.119130045,0.635394203,0.26802774
Custom_Blood,detr,scale_0.9,labels_scale_0.9,multiclass,explicit,1,1105,1105,4,640,0.301090709,0.160844381,0.726181934,0.32306182
Custom_Blood,yolov8n,scale_0.9,labels_scale_0.9,object_only,explicit,1,1105,1105,32,640,0.910900995,0.532410124,0.883412701,0.859116519
Custom_Blood,detr,scale_0.9,labels_scale_0.9,object_only,explicit,1,1105,1105,4,640,0.921985048,0.571637102,0.889322451,0.914647664
Custom_Blood,yolov8n,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1105,1105,32,640,0.208210676,0.115056146,0.714026178,0.265806111
Custom_Blood,detr,scale_1.1,labels_scale_1.1,multiclass,explicit,1,1105,1105,4,640,0.322884327,0.174347064,0.618083366,0.333157147
Custom_Blood,yolov8n,scale_1.1,labels_scale_1.1,object_only,explicit,1,1105,1105,32,640,0.884359566,0.519715136,0.854437726,0.823553758
Custom_Blood,detr,scale_1.1,labels_scale_1.1,object_only,explicit,1,1105,1105,4,640,0.92500836,0.536313913,0.89786981,0.91603437
Custom_Blood,yolov8n,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1105,1105,32,640,0.155230098,0.073456894,0.674467283,0.220208116
Custom_Blood,detr,scale_1.2,labels_scale_1.2,multiclass,explicit,1,1105,1105,4,640,0.293842431,0.109820202,0.717139918,0.307671222
Custom_Blood,yolov8n,scale_1.2,labels_scale_1.2,object_only,explicit,1,1105,1105,32,640,0.835302376,0.344152293,0.829231369,0.779572447
Custom_Blood,detr,scale_1.2,labels_scale_1.2,object_only,explicit,1,1105,1105,4,640,0.910180901,0.396263827,0.891437993,0.906096595
Custom_Blood,yolov8n,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1105,1105,32,640,0.147272278,0.044511566,0.664472359,0.212239142
Custom_Blood,detr,scale_1.3,labels_scale_1.3,multiclass,explicit,1,1105,1105,4,640,0.259603495,0.059076068,0.592063449,0.285787157
Custom_Blood,yolov8n,scale_1.3,labels_scale_1.3,object_only,explicit,1,1105,1105,32,640,0.83513032,0.288043384,0.818034614,0.780205859
Custom_Blood,detr,scale_1.3,labels_scale_1.3,object_only,explicit,1,1105,1105,4,640,0.833958719,0.194038034,0.832996583,0.840380048
Custom_Blood,yolov8n,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1105,1105,32,640,0.122101392,0.020584895,0.658323495,0.191316401
Custom_Blood,detr,scale_1.4,labels_scale_1.4,multiclass,explicit,1,1105,1105,4,640,0.132954328,0.021029427,0.50902164,0.174349145
Custom_Blood,yolov8n,scale_1.4,labels_scale_1.4,object_only,explicit,1,1105,1105,32,640,0.518763499,0.088862697,0.638157909,0.61943717
Custom_Blood,detr,scale_1.4,labels_scale_1.4,object_only,explicit,1,1105,1105,4,640,0.555793108,0.088578348,0.633224099,0.656410394
brain-tumor,yolov8n,original,labels,multiclass,explicit,1,893,893,32,640,0.464463621,0.331902364,0.459334446,0.829638752
brain-tumor,detr,original,labels,multiclass,explicit,1,893,893,4,640,0.408150767,0.308214087,0.484537619,0.516903759
brain-tumor,yolov8n,original,labels,object_only,explicit,1,893,893,32,640,0.952659519,0.697689847,0.874765146,0.904564315
brain-tumor,detr,original,labels,object_only,explicit,1,893,893,4,640,0.941078486,0.716799906,0.8691311,0.929460581
brain-tumor,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,893,893,32,640,0.008988293,0.001396905,0.013191184,0.238319152
brain-tumor,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,893,893,4,640,0.009309552,0.001114609,0.082399606,0.079190924
brain-tumor,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,893,893,32,640,0.009779794,0.001529029,0.031063786,0.066390041
brain-tumor,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,893,893,4,640,0.010674605,0.001731177,0.015808003,0.153526971
brain-tumor,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,893,893,32,640,0.267758593,0.032850538,0.318178373,0.545370216
brain-tumor,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,893,893,4,640,0.151522867,0.019338777,0.28464622,0.325309748
