dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
african-wildlife,yolov8n,side_5,labels_side_5,object_only,explicit,1,1052,1052,32,640,0.325208091,0.099988987,0.187690799,0.654353562
african-wildlife,yolo11n,side_5,labels_side_5,object_only,explicit,1,1052,1052,32,640,0.288470432,0.097268909,0.08707002,0.860158311
african-wildlife,detr,side_5,labels_side_5,object_only,explicit,1,1052,1052,4,640,0.22052044,0.10645331,0.15388288,0.540809832
african-wildlife,yolov8n,side_7,labels_side_7,multiclass,explicit,1,1052,1052,32,640,0.307295586,0.08747483,0.174312728,0.663983463
african-wildlife,yolo11n,side_7,labels_side_7,multiclass,explicit,1,1052,1052,32,640,0.2901005,0.090135296,0.257942856,0.529080024
african-wildlife,detr,side_7,labels_side_7,multiclass,explicit,1,1052,1052,4,640,0.134742955,0.07280816,0.377454151,0.150619195
african-wildlife,yolov8n,side_7,labels_side_7,object_only,explicit,1,1052,1052,32,640,0.273252295,0.085714254,0.061491449,0.918205805
african-wildlife,yolo11n,side_7,labels_side_7,object_only,explicit,1,1052,1052,32,640,0.286696122,0.082413092,0.04225713,0.920844327
african-wildlife,detr,side_7,labels_side_7,object_only,explicit,1,1052,1052,4,640,0.238599403,0.112254494,0.375359903,0.179419525
african-wildlife,yolov8n,side_9,labels_side_9,multiclass,explicit,1,1052,1052,32,640,0.155076112,0.040444491,0.054260892,0.792436739
african-wildlife,yolo11n,side_9,labels_side_9,multiclass,explicit,1,1052,1052,32,640,0.112536137,0.027316995,0.148219487,0.179230886
african-wildlife,detr,side_9,labels_side_9,multiclass,explicit,1,1052,1052,4,640,0.06853306,0.018793065,0.099893523,0.185787655
african-wildlife,yolov8n,side_9,labels_side_9,object_only,explicit,1,1052,1052,32,640,0.124999093,0.031766577,0.032594247,0.878627968
african-wildlife,yolo11n,side_9,labels_side_9,object_only,explicit,1,1052,1052,32,640,0.093733976,0.022709775,0.00822947,0.949868074
african-wildlife,detr,side_9,labels_side_9,object_only,explicit,1,1052,1052,4,640,0.078351293,0.023802965,0.076675366,0.406332454
construction-ppe,yolov8n,side_1,labels_side_1,multiclass,explicit,1,1132,1132,32,640,0.519415261,0.246405708,0.721790295,0.467945928
construction-ppe,yolo11n,side_1,labels_side_1,multiclass,explicit,1,1132,1132,32,640,0.507263778,0.2455564,0.758550465,0.44116367
construction-ppe,detr,side_1,labels_side_1,multiclass,explicit,1,1132,1132,4,640,0.593181762,0.288702559,0.685403845,0.558428072
construction-ppe,yolov8n,side_1,labels_side_1,object_only,explicit,1,1132,1132,32,640,0.708775502,0.357016635,0.821682918,0.610068259
construction-ppe,yolo11n,side_1,labels_side_1,object_only,explicit,1,1132,1132,32,640,0.705603699,0.353571393,0.821378077,0.607508532
construction-ppe,detr,side_1,labels_side_1,object_only,explicit,1,1132,1132,4,640,0.73469079,0.377683645,0.805906467,0.651874195
construction-ppe,yolov8n,side_3,labels_side_3,multiclass,explicit,1,1132,1132,32,640,0.290318895,0.113108492,0.515224168,0.337388571
construction-ppe,yolo11n,side_3,labels_side_3,multiclass,explicit,1,1132,1132,32,640,0.312226715,0.119019318,0.46132612,0.349624372
construction-ppe,detr,side_3,labels_side_3,multiclass,explicit,1,1132,1132,4,640,0.522078883,0.209015616,0.581951604,0.509537041
construction-ppe,yolov8n,side_3,labels_side_3,object_only,explicit,1,1132,1132,32,640,0.271988073,0.102285802,0.30282848,0.457337884
construction-ppe,yolo11n,side_3,labels_side_3,object_only,explicit,1,1132,1132,32,640,0.286504984,0.105998578,0.272993577,0.528156997
construction-ppe,detr,side_3,labels_side_3,object_only,explicit,1,1132,1132,4,640,0.517160024,0.225425673,0.632743759,0.436860068
construction-ppe,yolov8n,side_5,labels_side_5,multiclass,explicit,1,1132,1132,32,640,0.15538601,0.035321973,0.263642018,0.254595139
construction-ppe,yolo11n,side_5,labels_side_5,multiclass,explicit,1,1132,1132,32,640,0.161602855,0.037700798,0.358731992,0.287257115
construction-ppe,detr,side_5,labels_side_5,multiclass,explicit,1,1132,1132,4,640,0.181125411,0.076443236,0.56200447,0.205095288
construction-ppe,yolov8n,side_5,labels_side_5,object_only,explicit,1,1132,1132,32,640,0.129966035,0.03334151,0.096053637,0.541808874
construction-ppe,yolo11n,side_5,labels_side_5,object_only,explicit,1,1132,1132,32,640,0.103686695,0.027484655,0.089960945,0.526450512
construction-ppe,detr,side_5,labels_side_5,object_only,explicit,1,1132,1132,4,640,0.184588946,0.0629938,0.248445105,0.236348123
construction-ppe,yolov8n,side_7,labels_side_7,multiclass,explicit,1,1132,1132,32,640,0.142403462,0.035992379,0.257053858,0.270926516
construction-ppe,yolo11n,side_7,labels_side_7,multiclass,explicit,1,1132,1132,32,640,0.136896094,0.033205851,0.125433158,0.268745306
construction-ppe,detr,side_7,labels_side_7,multiclass,explicit,1,1132,1132,4,640,0.194188217,0.059450767,0.389936655,0.33780898
construction-ppe,yolov8n,side_7,labels_side_7,object_only,explicit,1,1132,1132,32,640,0.097926002,0.025076394,0.080541445,0.581911263
construction-ppe,yolo11n,side_7,labels_side_7,object_only,explicit,1,1132,1132,32,640,0.102014068,0.026820231,0.054470352,0.648464164
construction-ppe,detr,side_7,labels_side_7,object_only,explicit,1,1132,1132,4,640,0.179376162,0.063932314,0.246373951,0.302047782
construction-ppe,yolov8n,side_9,labels_side_9,multiclass,explicit,1,1132,1132,32,640,0.049998506,0.015015536,0.041541067,0.377965595
construction-ppe,yolo11n,side_9,labels_side_9,multiclass,explicit,1,1132,1132,32,640,0.062938391,0.01537569,0.218042905,0.350052583
construction-ppe,detr,side_9,labels_side_9,multiclass,explicit,1,1132,1132,4,640,0.069522399,0.015544237,0.427486092,0.178638181
construction-ppe,yolov8n,side_9,labels_side_9,object_only,explicit,1,1132,1132,32,640,0.062114979,0.014359098,0.021999611,0.72440273
construction-ppe,yolo11n,side_9,labels_side_9,object_only,explicit,1,1132,1132,32,640,0.067916453,0.014954085,0.0463523,0.500853242
construction-ppe,detr,side_9,labels_side_9,object_only,explicit,1,1132,1132,4,640,0.079871243,0.019927091,0.095643022,0.291808874
Custom_Blood,yolov8n,side_1,labels_side_1,multiclass,explicit,1,1105,1105,32,640,0.220230058,0.141066751,0.632083355,0.271146907
Custom_Blood,yolo11n,side_1,labels_side_1,multiclass,explicit,1,1105,1105,32,640,0.198065074,0.127978225,0.721482691,0.247435403
Custom_Blood,detr,side_1,labels_side_1,multiclass,explicit,1,1105,1105,4,640,0.313675956,0.202225825,0.536555995,0.330416909
Custom_Blood,yolov8n,side_1,labels_side_1,object_only,explicit,1,1105,1105,32,640,0.902372955,0.598745971,0.89801794,0.843072051
Custom_Blood,yolo11n,side_1,labels_side_1,object_only,explicit,1,1105,1105,32,640,0.895344409,0.586628084,0.884281804,0.838588528
Custom_Blood,detr,side_1,labels_side_1,object_only,explicit,1,1105,1105,4,640,0.949793255,0.668326882,0.923902166,0.935391924
Custom_Blood,yolov8n,side_3,labels_side_3,multiclass,explicit,1,1105,1105,32,640,0.125236082,0.057323026,0.559310899,0.189353043
Custom_Blood,yolo11n,side_3,labels_side_3,multiclass,explicit,1,1105,1105,32,640,0.116331526,0.053472322,0.551593493,0.180354862
