dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
african-wildlife,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.904224321878447,0.6877081575880184,0.8922128671602888,0.8033890877362919,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.9304764043393122,0.7173240528326816,0.9069424967559131,0.8477168187822758,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.9110929280603453,0.6680409663138207,0.9090037051177754,0.8308300934203217,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
african-wildlife,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/african-wildlife/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.9283717405714441,0.6886494850411757,0.9501068364678563,0.8391052090848161,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/african-wildlife/data_eval_clean.yaml
construction-ppe,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.4905957390477695,0.23554194151746838,0.7253744706453177,0.4348974017976207,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.4850140553311334,0.23493753099841239,0.7451978963608717,0.4339631448470182,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.48689899153348043,0.2136521808229711,0.6990694972550574,0.45404308141184163,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.48984516582362614,0.21951673091901405,0.6759127204977797,0.44903678907492145,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.4676162483590471,0.2068122593895892,0.622995858845643,0.46043367233982785,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.459374707073477,0.20062867246423075,0.5949442303490832,0.44862467623147817,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
